Date,Position,Trend,Title,Artist,Streams,Icon_URL,Spotify_URL
2017-01-03,26,Down,Treat You Better,Shawn Mendes,1467423,https://i.scdn.co/image/ab67616d00004851188e6332f32088921ab1eaf8,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
2017-01-03,27,Flat,Don't Let Me Down,The Chainsmokers,1422968,https://i.scdn.co/image/ab67616d0000485108d87fb54859bc9038f7e5e0,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
2017-01-03,28,Up,Scars To Your Beautiful,Alessia Cara,1378110,https://i.scdn.co/image/5b9e5bd34ec840f07c8530e43a76b1b5e08d8b77,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
2017-01-03,29,Up,All Night,The Vamps,1333910,https://i.scdn.co/image/ab67616d000048516d212964f44127ddabdac111,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0
2017-01-03,30,Up,Love Me Now,John Legend,1308910,https://i.scdn.co/image/ab67616d00004851fa2ba77d93b08258827bd2d2,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
2017-01-03,31,Up,By Your Side,Jonas Blue,1284803,https://i.scdn.co/image/ab67616d00004851bd4b658f3aead04637924c28,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j
2017-01-03,32,Flat,Now and Later,Sage The Gemini,1277848,https://i.scdn.co/image/ab67616d000048515c1a2482d6a8fe70825cc59e,https://open.spotify.com/track/08WPvDEsHvTFuB9w8tC2OS
2017-01-03,33,Down,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1267550,https://i.scdn.co/image/ab67616d00004851ef37416970812293c08e8a78,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
2017-01-03,34,Up,I Would Like,Zara Larsson,1257416,https://i.scdn.co/image/ab67616d000048519e1683774b22648f4f178ed3,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6
2017-01-03,35,Up,Shed a Light,Robin Schulz,1236765,https://i.scdn.co/image/ab67616d000048517be189f322bc8155c103d6c9,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
2017-01-03,36,Flat,The Mack,Nevada,1224150,https://i.scdn.co/image/ab67616d00004851746ac799032f9af9c5268332,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO
2017-01-03,37,Up,Reggaetón Lento (Bailemos),CNCO,1191805,https://i.scdn.co/image/ab67616d000048517db0f7ac4c612cce26ccacf9,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
2017-01-03,38,Up,Hear Me Now,Alok,1188910,https://i.scdn.co/image/e308bad29e4cf6dc8aa5cd97449ef71bbb893d40,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
2017-01-03,39,Down,Cheap Thrills,Sia,1187880,https://i.scdn.co/image/ab67616d0000485149e0134c686547c28b7c999f,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
