,Audio Features Obj,Spotify_ID,id,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
20,"{'danceability': 0.652, 'energy': 0.795, 'key': 11, 'loudness': -5.192, 'mode': 0, 'speechiness': 0.174, 'acousticness': 0.156, 'instrumentalness': 0, 'liveness': 0.123, 'valence': 0.788, 'tempo': 135.018, 'type': 'audio_features', 'id': '0v9Wz8o0BT8DU38R4ddjeH', 'uri': 'spotify:track:0v9Wz8o0BT8DU38R4ddjeH', 'track_href': 'https://api.spotify.com/v1/tracks/0v9Wz8o0BT8DU38R4ddjeH', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0v9Wz8o0BT8DU38R4ddjeH', 'duration_ms': 304607, 'time_signature': 4}",0v9Wz8o0BT8DU38R4ddjeH,0v9Wz8o0BT8DU38R4ddjeH,spotify:track:0v9Wz8o0BT8DU38R4ddjeH,0.652,0.795,11,-5.192,0,0.174,0.156,0.0,0.123,0.788,135.018,304607,4
21,"{'danceability': 0.906, 'energy': 0.444, 'key': 4, 'loudness': -8.692, 'mode': 0, 'speechiness': 0.384, 'acousticness': 0.136, 'instrumentalness': 6.44e-05, 'liveness': 0.173, 'valence': 0.678, 'tempo': 140.063, 'type': 'audio_features', 'id': '4gmmRb6bZJffOOiww1JGTO', 'uri': 'spotify:track:4gmmRb6bZJffOOiww1JGTO', 'track_href': 'https://api.spotify.com/v1/tracks/4gmmRb6bZJffOOiww1JGTO', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4gmmRb6bZJffOOiww1JGTO', 'duration_ms': 235040, 'time_signature': 4}",4gmmRb6bZJffOOiww1JGTO,4gmmRb6bZJffOOiww1JGTO,spotify:track:4gmmRb6bZJffOOiww1JGTO,0.906,0.444,4,-8.692,0,0.384,0.136,6.44e-05,0.173,0.678,140.063,235040,4
22,"{'danceability': 0.636, 'energy': 0.633, 'key': 4, 'loudness': -4.23, 'mode': 1, 'speechiness': 0.126, 'acousticness': 0.371, 'instrumentalness': 0, 'liveness': 0.102, 'valence': 0.512, 'tempo': 99.721, 'type': 'audio_features', 'id': '1qOLh0tI7trd1zdDKxYZTe', 'uri': 'spotify:track:1qOLh0tI7trd1zdDKxYZTe', 'track_href': 'https://api.spotify.com/v1/tracks/1qOLh0tI7trd1zdDKxYZTe', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1qOLh0tI7trd1zdDKxYZTe', 'duration_ms': 181880, 'time_signature': 4}",1qOLh0tI7trd1zdDKxYZTe,1qOLh0tI7trd1zdDKxYZTe,spotify:track:1qOLh0tI7trd1zdDKxYZTe,0.636,0.633,4,-4.23,1,0.126,0.371,0.0,0.102,0.512,99.721,181880,4
23,"{'danceability': 0.542, 'energy': 0.859, 'key': 11, 'loudness': -5.651, 'mode': 1, 'speechiness': 0.197, 'acousticness': 0.16, 'instrumentalness': 0.00466, 'liveness': 0.137, 'valence': 0.403, 'tempo': 159.797, 'type': 'audio_features', 'id': '0QsvXIfqM0zZoerQfsI9lm', 'uri': 'spotify:track:0QsvXIfqM0zZoerQfsI9lm', 'track_href': 'https://api.spotify.com/v1/tracks/0QsvXIfqM0zZoerQfsI9lm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0QsvXIfqM0zZoerQfsI9lm', 'duration_ms': 208053, 'time_signature': 4}",0QsvXIfqM0zZoerQfsI9lm,0QsvXIfqM0zZoerQfsI9lm,spotify:track:0QsvXIfqM0zZoerQfsI9lm,0.542,0.859,11,-5.651,1,0.197,0.16,0.00466,0.137,0.403,159.797,208053,4
24,"{'danceability': 0.648, 'energy': 0.738, 'key': 6, 'loudness': -5.883, 'mode': 0, 'speechiness': 0.247, 'acousticness': 0.0408, 'instrumentalness': 0, 'liveness': 0.292, 'valence': 0.603, 'tempo': 159.145, 'type': 'audio_features', 'id': '4pLwZjInHj3SimIyN9SnOz', 'uri': 'spotify:track:4pLwZjInHj3SimIyN9SnOz', 'track_href': 'https://api.spotify.com/v1/tracks/4pLwZjInHj3SimIyN9SnOz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4pLwZjInHj3SimIyN9SnOz', 'duration_ms': 226160, 'time_signature': 4}",4pLwZjInHj3SimIyN9SnOz,4pLwZjInHj3SimIyN9SnOz,spotify:track:4pLwZjInHj3SimIyN9SnOz,0.648,0.738,6,-5.883,0,0.247,0.0408,0.0,0.292,0.603,159.145,226160,4
25,"{'danceability': 0.624, 'energy': 0.803, 'key': 10, 'loudness': -4.105, 'mode': 0, 'speechiness': 0.246, 'acousticness': 0.123, 'instrumentalness': 0, 'liveness': 0.114, 'valence': 0.821, 'tempo': 166.018, 'type': 'audio_features', 'id': '4Hf7WnR761jpxPr5D46Bcd', 'uri': 'spotify:track:4Hf7WnR761jpxPr5D46Bcd', 'track_href': 'https://api.spotify.com/v1/tracks/4Hf7WnR761jpxPr5D46Bcd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4Hf7WnR761jpxPr5D46Bcd', 'duration_ms': 187973, 'time_signature': 4}",4Hf7WnR761jpxPr5D46Bcd,4Hf7WnR761jpxPr5D46Bcd,spotify:track:4Hf7WnR761jpxPr5D46Bcd,0.624,0.803,10,-4.105,0,0.246,0.123,0.0,0.114,0.821,166.018,187973,4
26,"{'danceability': 0.49, 'energy': 0.485, 'key': 4, 'loudness': -6.237, 'mode': 0, 'speechiness': 0.0406, 'acousticness': 0.0592, 'instrumentalness': 0, 'liveness': 0.337, 'valence': 0.196, 'tempo': 133.889, 'type': 'audio_features', 'id': '04DwTuZ2VBdJCCC5TROn7L', 'uri': 'spotify:track:04DwTuZ2VBdJCCC5TROn7L', 'track_href': 'https://api.spotify.com/v1/tracks/04DwTuZ2VBdJCCC5TROn7L', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/04DwTuZ2VBdJCCC5TROn7L', 'duration_ms': 195840, 'time_signature': 4}",04DwTuZ2VBdJCCC5TROn7L,04DwTuZ2VBdJCCC5TROn7L,spotify:track:04DwTuZ2VBdJCCC5TROn7L,0.49,0.485,4,-6.237,0,0.0406,0.0592,0.0,0.337,0.196,133.889,195840,4
27,"{'danceability': 0.806, 'energy': 0.558, 'key': 8, 'loudness': -6.538, 'mode': 1, 'speechiness': 0.172, 'acousticness': 0.00496, 'instrumentalness': 1.45e-06, 'liveness': 0.16, 'valence': 0.26, 'tempo': 85.011, 'type': 'audio_features', 'id': '4ckuS4Nj4FZ7i3Def3Br8W', 'uri': 'spotify:track:4ckuS4Nj4FZ7i3Def3Br8W', 'track_href': 'https://api.spotify.com/v1/tracks/4ckuS4Nj4FZ7i3Def3Br8W', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4ckuS4Nj4FZ7i3Def3Br8W', 'duration_ms': 251333, 'time_signature': 4}",4ckuS4Nj4FZ7i3Def3Br8W,4ckuS4Nj4FZ7i3Def3Br8W,spotify:track:4ckuS4Nj4FZ7i3Def3Br8W,0.806,0.558,8,-6.538,1,0.172,0.00496,1.45e-06,0.16,0.26,85.011,251333,4
28,"{'danceability': 0.667, 'energy': 0.83, 'key': 0, 'loudness': -5.715, 'mode': 1, 'speechiness': 0.0749, 'acousticness': 0.0123, 'instrumentalness': 0, 'liveness': 0.191, 'valence': 0.701, 'tempo': 113.03, 'type': 'audio_features', 'id': '6JV2JOEocMgcZxYSZelKcc', 'uri': 'spotify:track:6JV2JOEocMgcZxYSZelKcc', 'track_href': 'https://api.spotify.com/v1/tracks/6JV2JOEocMgcZxYSZelKcc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6JV2JOEocMgcZxYSZelKcc', 'duration_ms': 236002, 'time_signature': 4}",6JV2JOEocMgcZxYSZelKcc,6JV2JOEocMgcZxYSZelKcc,spotify:track:6JV2JOEocMgcZxYSZelKcc,0.667,0.83,0,-5.715,1,0.0749,0.0123,0.0,0.191,0.701,113.03,236002,4
29,"{'danceability': 0.803, 'energy': 0.585, 'key': 8, 'loudness': -5.861, 'mode': 1, 'speechiness': 0.0432, 'acousticness': 0.103, 'instrumentalness': 3.94e-06, 'liveness': 0.0644, 'valence': 0.593, 'tempo': 105.017, 'type': 'audio_features', 'id': '4tCtwWceOPWzenK2HAIJSb', 'uri': 'spotify:track:4tCtwWceOPWzenK2HAIJSb', 'track_href': 'https://api.spotify.com/v1/tracks/4tCtwWceOPWzenK2HAIJSb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4tCtwWceOPWzenK2HAIJSb', 'duration_ms': 214480, 'time_signature': 4}",4tCtwWceOPWzenK2HAIJSb,4tCtwWceOPWzenK2HAIJSb,spotify:track:4tCtwWceOPWzenK2HAIJSb,0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,214480,4
