,Audio Features Obj,Internal Track ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
22,"{'danceability': 0.766, 'energy': 0.283, 'key': 8, 'loudness': -10.33, 'mode': 0, 'speechiness': 0.0846, 'acousticness': 0.111, 'instrumentalness': 0.0172, 'liveness': 0.115, 'valence': 0.144, 'tempo': 97.04, 'type': 'audio_features', 'id': '6n3HGiq4v35D6eFOSwqYuo', 'uri': 'spotify:track:6n3HGiq4v35D6eFOSwqYuo', 'track_href': 'https://api.spotify.com/v1/tracks/6n3HGiq4v35D6eFOSwqYuo', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6n3HGiq4v35D6eFOSwqYuo', 'duration_ms': 219692, 'time_signature': 4}",6n3HGiq4v35D6eFOSwqYuo,0.766,0.283,8,-10.33,0,0.0846,0.111,0.0172,0.115,0.144,97.04,219692,4
23,"{'danceability': 0.688, 'energy': 0.384, 'key': 9, 'loudness': -8.824, 'mode': 0, 'speechiness': 0.375, 'acousticness': 0.2, 'instrumentalness': 0, 'liveness': 0.708, 'valence': 0.432, 'tempo': 162.097, 'type': 'audio_features', 'id': '28irpKCCK9nn9DZSik2zEx', 'uri': 'spotify:track:28irpKCCK9nn9DZSik2zEx', 'track_href': 'https://api.spotify.com/v1/tracks/28irpKCCK9nn9DZSik2zEx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/28irpKCCK9nn9DZSik2zEx', 'duration_ms': 206120, 'time_signature': 4}",28irpKCCK9nn9DZSik2zEx,0.688,0.384,9,-8.824,0,0.375,0.2,0.0,0.708,0.432,162.097,206120,4
24,"{'danceability': 0.766, 'energy': 0.234, 'key': 11, 'loudness': -7.544, 'mode': 0, 'speechiness': 0.159, 'acousticness': 0.332, 'instrumentalness': 0.00156, 'liveness': 0.358, 'valence': 0.256, 'tempo': 96.882, 'type': 'audio_features', 'id': '6MbH1QiphMCPTqVEVC7UYi', 'uri': 'spotify:track:6MbH1QiphMCPTqVEVC7UYi', 'track_href': 'https://api.spotify.com/v1/tracks/6MbH1QiphMCPTqVEVC7UYi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6MbH1QiphMCPTqVEVC7UYi', 'duration_ms': 153725, 'time_signature': 4}",6MbH1QiphMCPTqVEVC7UYi,0.766,0.234,11,-7.544,0,0.159,0.332,0.00156,0.358,0.256,96.882,153725,4
25,"{'danceability': 0.856, 'energy': 0.572, 'key': 1, 'loudness': -8.429, 'mode': 1, 'speechiness': 0.373, 'acousticness': 0.0136, 'instrumentalness': 1.55e-06, 'liveness': 0.121, 'valence': 0.454, 'tempo': 82.445, 'type': 'audio_features', 'id': '5f5r2N4Lp9WoULWPH9zp2W', 'uri': 'spotify:track:5f5r2N4Lp9WoULWPH9zp2W', 'track_href': 'https://api.spotify.com/v1/tracks/5f5r2N4Lp9WoULWPH9zp2W', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5f5r2N4Lp9WoULWPH9zp2W', 'duration_ms': 228438, 'time_signature': 4}",5f5r2N4Lp9WoULWPH9zp2W,0.856,0.572,1,-8.429,1,0.373,0.0136,1.55e-06,0.121,0.454,82.445,228438,4
26,"{'danceability': 0.526, 'energy': 0.583, 'key': 4, 'loudness': -9.172, 'mode': 1, 'speechiness': 0.376, 'acousticness': 0.699, 'instrumentalness': 0, 'liveness': 0.372, 'valence': 0.378, 'tempo': 89.835, 'type': 'audio_features', 'id': '2Na0z2gfN67Rzf0vp74Wi3', 'uri': 'spotify:track:2Na0z2gfN67Rzf0vp74Wi3', 'track_href': 'https://api.spotify.com/v1/tracks/2Na0z2gfN67Rzf0vp74Wi3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2Na0z2gfN67Rzf0vp74Wi3', 'duration_ms': 305374, 'time_signature': 4}",2Na0z2gfN67Rzf0vp74Wi3,0.526,0.583,4,-9.172,1,0.376,0.699,0.0,0.372,0.378,89.835,305374,4
27,"{'danceability': 0.745, 'energy': 0.822, 'key': 7, 'loudness': -6.354, 'mode': 1, 'speechiness': 0.252, 'acousticness': 0.0103, 'instrumentalness': 4.2e-06, 'liveness': 0.155, 'valence': 0.415, 'tempo': 86.733, 'type': 'audio_features', 'id': '2dfqS3MRtbLZSZA1IL8xY5', 'uri': 'spotify:track:2dfqS3MRtbLZSZA1IL8xY5', 'track_href': 'https://api.spotify.com/v1/tracks/2dfqS3MRtbLZSZA1IL8xY5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2dfqS3MRtbLZSZA1IL8xY5', 'duration_ms': 143214, 'time_signature': 5}",2dfqS3MRtbLZSZA1IL8xY5,0.745,0.822,7,-6.354,1,0.252,0.0103,4.2e-06,0.155,0.415,86.733,143214,5
28,"{'danceability': 0.468, 'energy': 0.266, 'key': 0, 'loudness': -11.121, 'mode': 1, 'speechiness': 0.13, 'acousticness': 0.348, 'instrumentalness': 9.55e-06, 'liveness': 0.209, 'valence': 0.222, 'tempo': 153.292, 'type': 'audio_features', 'id': '5JUu0unA8VwhTZ9LkMWUVI', 'uri': 'spotify:track:5JUu0unA8VwhTZ9LkMWUVI', 'track_href': 'https://api.spotify.com/v1/tracks/5JUu0unA8VwhTZ9LkMWUVI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5JUu0unA8VwhTZ9LkMWUVI', 'duration_ms': 368036, 'time_signature': 4}",5JUu0unA8VwhTZ9LkMWUVI,0.468,0.266,0,-11.121,1,0.13,0.348,9.55e-06,0.209,0.222,153.292,368036,4
29,"{'danceability': 0.618, 'energy': 0.693, 'key': 7, 'loudness': -5.943, 'mode': 0, 'speechiness': 0.45, 'acousticness': 0.246, 'instrumentalness': 0, 'liveness': 0.112, 'valence': 0.454, 'tempo': 170.982, 'type': 'audio_features', 'id': '2KvHC9z14GSl4YpkNMX384', 'uri': 'spotify:track:2KvHC9z14GSl4YpkNMX384', 'track_href': 'https://api.spotify.com/v1/tracks/2KvHC9z14GSl4YpkNMX384', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2KvHC9z14GSl4YpkNMX384', 'duration_ms': 283551, 'time_signature': 4}",2KvHC9z14GSl4YpkNMX384,0.618,0.693,7,-5.943,0,0.45,0.246,0.0,0.112,0.454,170.982,283551,4
30,"{'danceability': 0.813, 'energy': 0.551, 'key': 6, 'loudness': -7.605, 'mode': 0, 'speechiness': 0.353, 'acousticness': 0.08, 'instrumentalness': 0, 'liveness': 0.386, 'valence': 0.598, 'tempo': 124.957, 'type': 'audio_features', 'id': '7bJ4mu7MHa3rHiNyKjOoSl', 'uri': 'spotify:track:7bJ4mu7MHa3rHiNyKjOoSl', 'track_href': 'https://api.spotify.com/v1/tracks/7bJ4mu7MHa3rHiNyKjOoSl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7bJ4mu7MHa3rHiNyKjOoSl', 'duration_ms': 250770, 'time_signature': 4}",7bJ4mu7MHa3rHiNyKjOoSl,0.813,0.551,6,-7.605,0,0.353,0.08,0.0,0.386,0.598,124.957,250770,4
31,"{'danceability': 0.67, 'energy': 0.515, 'key': 1, 'loudness': -6.977, 'mode': 1, 'speechiness': 0.397, 'acousticness': 0.0705, 'instrumentalness': 0, 'liveness': 0.25, 'valence': 0.422, 'tempo': 122.006, 'type': 'audio_features', 'id': '4kNvYhyl8R6m1vykVkcuBu', 'uri': 'spotify:track:4kNvYhyl8R6m1vykVkcuBu', 'track_href': 'https://api.spotify.com/v1/tracks/4kNvYhyl8R6m1vykVkcuBu', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4kNvYhyl8R6m1vykVkcuBu', 'duration_ms': 270867, 'time_signature': 4}",4kNvYhyl8R6m1vykVkcuBu,0.67,0.515,1,-6.977,1,0.397,0.0705,0.0,0.25,0.422,122.006,270867,4
