,Spotify_ID,name,name_album,album_type,total_tracks,duration_ms,explicit,track_number,mode,time_signature,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,max_chart_rank
1489,0KA5Cc68h9qitLwTadHBpa,Back On,Mr. Davis,album,17,181533,True,2,1,4,0.828,0.639,1,-5.4110000000000005,0.163,0.0087,4.1e-06,0.0656,0.42700000000000005,156.055,147.0
1490,01iyINEYgPQ7ThMZuHUsqS,First Love,First Love,single,1,207427,False,1,1,4,0.619,0.938,5,-5.245,0.35,0.0257,1.39e-05,0.128,0.601,94.38,152.0
1491,7y4JznkAv2W3IKw9T1o2VK,New,New,single,1,230879,True,1,1,4,0.7170000000000001,0.743,0,-4.337,0.0322,0.0473,8.81e-06,0.368,0.321,106.919,102.0
1492,7vu0JkJh0ldukEYbTVcqd0,Issues,Nervous System,album,7,176320,False,1,1,4,0.728,0.415,8,-6.852,0.0639,0.401,0.0,0.0616,0.455,114.145,133.0
1493,10GJQkjRJcZhGTLagFOC62,Most Girls,Most Girls,single,1,204400,False,1,1,4,0.7559999999999999,0.5720000000000001,9,-7.019,0.0763,0.0478,0.0,0.0853,0.41700000000000004,102.986,183.0
1494,3hrOvNITonGR2U41YUfaPW,Money Make Ya Handsome,Mr. Davis,album,17,205026,True,8,0,4,0.6970000000000001,0.6629999999999999,10,-6.0,0.0512,0.154,0.0,0.282,0.5479999999999999,134.108,149.0
1495,42jG6qZg93rsTuuO4eodx6,Wishlist,Wishlist,single,1,190429,True,1,0,4,0.626,0.585,0,-6.44,0.042,0.13699999999999998,0.0,0.10400000000000001,0.188,124.978,193.0
1496,2KwojFDebQV4J2b0JMRR5Q,Is That For Me,Is That For Me,single,1,169269,False,1,1,4,0.7609999999999999,0.785,8,-5.502000000000001,0.0505,0.23399999999999999,0.237,0.0573,0.58,104.992,196.0
1497,2DlIwu1iDTILEMXA7MUotn,Beautiful Trauma,Beautiful Trauma,album,13,250053,True,1,1,4,0.41200000000000003,0.619,7,-6.39,0.0725,0.0868,2.55e-06,0.4,0.23399999999999999,95.977,197.0
1498,0luqG2fhUz17ncifrWqrut,Real Thing (feat. Future),Real Thing (feat. Future),single,1,243146,True,1,0,4,0.6679999999999999,0.503,7,-8.196,0.365,0.0075,0.0,0.441,0.33299999999999996,160.054,94.0
1499,16qXgDYtEBOTC8elfnU975,Rubbin off the Paint,Rubbin off the Paint,single,1,156133,True,1,1,5,0.516,0.45899999999999996,1,-17.459,0.43200000000000005,0.009340000000000001,0.0,0.28600000000000003,0.39799999999999996,108.109,87.0
1500,1m69ELEgE6k5ZWsap40ozt,Se Preparó,Odisea,album,16,188080,False,3,1,4,0.7390000000000001,0.821,1,-4.2330000000000005,0.0852,0.222,9.6e-06,0.311,0.693,171.077,118.0
1501,3al2hpm92xE0pBalqWQHdD,Betrayed,Betrayed,single,1,187250,True,1,0,4,0.8270000000000001,0.419,10,-10.329,0.11199999999999999,0.413,0.0,0.115,0.22699999999999998,119.97399999999999,139.0
